EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19590623,10221,    0
121041,19590624,10176,    0
121041,19590625,10137,    0
121041,19590626,10131,    0
121041,19590627,10130,    0
121041,19590628,10085,    0
121041,19590629,10054,    0
121041,19590630,10108,    0
121041,19590701,10213,    0
121041,19590702,10208,    0
121041,19590703,10196,    0
121041,19590704,10202,    0
121041,19590705,10193,    0
121041,19590706,10197,    0
121041,19590707,10264,    0
121041,19590708,10210,    0
121041,19590709,10158,    0
121041,19590710,10152,    0
121041,19590711,10112,    0
121041,19590712,10116,    0
121041,19590713,10156,    0
121041,19590714,10180,    0
121041,19590715,10166,    0
121041,19590716,10184,    0
121041,19590717,10214,    0
121041,19590718,10203,    0
121041,19590719,10196,    0
121041,19590720,10213,    0
121041,19590721,10200,    0
121041,19590722,10165,    0
121041,19590723,10168,    0
121041,19590724,10158,    0
121041,19590725,10164,    0
121041,19590726,10146,    0
121041,19590727,10129,    0
121041,19590728,10112,    0
121041,19590729,10056,    0
121041,19590730,10001,    0
121041,19590731,10094,    0
121041,19590801,10151,    0
121041,19590802,10150,    0
121041,19590803,10159,    0
121041,19590804,10168,    0
121041,19590805,10170,    0
121041,19590806,10201,    0
121041,19590807,10189,    0
121041,19590808,10144,    0
121041,19590809,10140,    0
121041,19590810,10120,    0
121041,19590811,10122,    0
121041,19590812,10130,    0
121041,19590813,10123,    0
121041,19590814,10113,    0
121041,19590815,10175,    0
121041,19590816,10230,    0
121041,19590817,10269,    0
121041,19590818,10261,    0
121041,19590819,10220,    0
121041,19590820,10175,    0
121041,19590821,10132,    0
121041,19590822,10170,    0
121041,19590823,10230,    0
121041,19590824,10269,    0
121041,19590825,10276,    0
121041,19590826,10258,    0
121041,19590827,10244,    0
121041,19590828,10180,    0
121041,19590829,10197,    0
121041,19590830,10209,    0
121041,19590831,10224,    0
